ClaimNumber,PolicyNumber,PolicySource,EffectiveDate,ExpirationDate,CancellationDate,LossLocationID,HIPaymentStatus_Ext,Type,Driver,Vehicle
CLM000453,POL000453,Online,2024-04-23,2028-08-05,2026-02-17,LOC0769,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000454,POL000454,Agent,2024-02-19,2026-08-30,,LOC0820,Paid,Nominated,Nominated,Not Active
CLM000455,POL000455,Agent,2020-01-08,2026-03-28,2027-03-12,LOC0732,Not Paid,Nominated,Nominated,Not Active
CLM000456,POL000456,Broker,2023-09-14,2027-02-08,2029-02-10,LOC0117,Paid,Nominated,Not Nominated,Active
CLM000457,POL000457,Agent,2020-01-11,2025-03-21,2029-04-05,LOC0077,Not Paid,Nominated,Not Nominated,Active
CLM000458,POL000458,Agent,2020-09-16,2025-12-27,2029-12-08,LOC0415,Pending,Not Nominated,Nominated,Active
CLM000459,POL000459,Agent,2020-01-11,2026-07-01,2028-07-13,LOC0333,Not Paid,Nominated,Nominated,Not Active
CLM000460,POL000460,Online,2021-02-24,2028-07-15,2029-09-01,LOC0875,Pending,Not Nominated,Nominated,Not Active
CLM000461,POL000461,Online,2021-10-09,2025-12-25,2026-03-18,LOC0337,Paid,Not Nominated,Not Nominated,Not Active
CLM000462,POL000462,Broker,2022-06-09,2029-09-22,2028-10-09,LOC0343,Pending,Not Nominated,Nominated,Active
CLM000463,POL000463,Broker,2021-04-21,2028-01-12,2027-05-25,LOC0872,Paid,Not Nominated,Nominated,Active
CLM000464,POL000464,Agent,2023-12-20,2027-06-26,2029-10-20,LOC0822,Paid,Not Nominated,Not Nominated,Active
CLM000465,POL000465,Agent,2022-12-02,2027-12-06,2026-06-19,LOC0411,Paid,Nominated,Nominated,Not Active
CLM000466,POL000466,Broker,2024-05-15,2026-05-13,,LOC0274,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000467,POL000467,Online,2024-10-11,2027-04-06,,LOC0816,Paid,Nominated,Nominated,Not Active
CLM000468,POL000468,Agent,2020-01-10,2029-08-05,2026-10-05,LOC0220,Paid,Not Nominated,Not Nominated,Not Active
CLM000469,POL000469,Online,2022-01-21,2029-07-22,2026-08-21,LOC0479,Pending,Nominated,Not Nominated,Active
CLM000470,POL000470,Agent,2022-04-12,2027-08-16,,LOC0634,Pending,Nominated,Nominated,Active
CLM000471,POL000471,Broker,2021-03-06,2029-02-18,2027-06-10,LOC0368,Pending,Not Nominated,Nominated,Not Active
CLM000472,POL000472,Agent,2022-04-10,2029-08-30,,LOC0996,Paid,Not Nominated,Not Nominated,Active
CLM000473,POL000473,Broker,2020-05-15,2026-06-14,2029-03-04,LOC0586,Paid,Nominated,Nominated,Active
CLM000474,POL000474,Broker,2020-07-23,2029-03-08,2025-10-14,LOC0453,Not Paid,Not Nominated,Nominated,Active
CLM000475,POL000475,Broker,2024-01-11,2025-03-09,2026-08-10,LOC0533,Pending,Not Nominated,Not Nominated,Not Active
CLM000476,POL000476,Online,2023-04-12,2029-01-10,2026-01-06,LOC0335,Not Paid,Nominated,Nominated,Not Active
CLM000477,POL000477,Broker,2021-07-24,2028-12-18,2025-11-10,LOC0566,Pending,Nominated,Not Nominated,Not Active
CLM000478,POL000478,Agent,2020-08-18,2025-10-25,,LOC0050,Not Paid,Not Nominated,Not Nominated,Active
CLM000479,POL000479,Broker,2023-01-27,2025-02-12,2028-09-04,LOC0666,Pending,Not Nominated,Not Nominated,Active
CLM000480,POL000480,Agent,2021-06-28,2029-09-25,2029-03-04,LOC0675,Paid,Nominated,Nominated,Active
CLM000481,POL000481,Online,2020-06-16,2026-09-17,2028-09-12,LOC0804,Pending,Not Nominated,Not Nominated,Active
CLM000482,POL000482,Online,2020-03-02,2027-01-20,2029-06-12,LOC0447,Pending,Not Nominated,Not Nominated,Active
CLM000483,POL000483,Online,2022-05-31,2028-01-22,2026-01-22,LOC0476,Paid,Nominated,Not Nominated,Active
CLM000484,POL000484,Broker,2023-08-22,2026-03-11,2029-12-18,LOC0478,Paid,Nominated,Nominated,Not Active
CLM000485,POL000485,Broker,2023-01-09,2026-03-24,2027-11-30,LOC0788,Paid,Nominated,Not Nominated,Active
CLM000486,POL000486,Online,2024-05-17,2026-12-01,2025-03-26,LOC0130,Not Paid,Not Nominated,Not Nominated,Active
CLM000487,POL000487,Agent,2020-08-04,2027-08-14,2026-12-17,LOC0881,Not Paid,Not Nominated,Not Nominated,Active
CLM000488,POL000488,Online,2023-04-20,2027-04-21,2028-07-10,LOC0003,Not Paid,Nominated,Not Nominated,Not Active
CLM000489,POL000489,Agent,2022-03-25,2025-04-18,2025-11-24,LOC0312,Not Paid,Not Nominated,Nominated,Not Active
CLM000490,POL000490,Online,2021-12-23,2029-11-01,2029-10-29,LOC0730,Not Paid,Nominated,Not Nominated,Not Active
CLM000491,POL000491,Online,2020-01-09,2027-03-15,,LOC0785,Not Paid,Nominated,Nominated,Active
CLM000492,POL000492,Broker,2023-08-23,2027-02-12,2027-03-05,LOC0983,Not Paid,Nominated,Nominated,Active
CLM000493,POL000493,Agent,2021-06-01,2029-11-24,,LOC0178,Paid,Not Nominated,Not Nominated,Not Active
CLM000494,POL000494,Agent,2020-09-16,2029-06-05,2028-03-16,LOC0736,Paid,Not Nominated,Not Nominated,Active
CLM000495,POL000495,Online,2024-06-07,2025-07-28,2028-01-18,LOC0621,Not Paid,Nominated,Nominated,Not Active
CLM000496,POL000496,Online,2021-05-02,2026-08-03,2026-10-22,LOC0973,Paid,Not Nominated,Not Nominated,Active
CLM000497,POL000497,Agent,2020-07-24,2026-10-02,2026-02-08,LOC0470,Pending,Nominated,Nominated,Not Active
CLM000498,POL000498,Agent,2024-02-06,2028-01-03,2027-08-25,LOC0323,Not Paid,Not Nominated,Nominated,Not Active
CLM000499,POL000499,Online,2023-02-16,2026-09-19,2025-02-17,LOC0795,Pending,Not Nominated,Not Nominated,Active
CLM000500,POL000500,Agent,2021-09-19,2025-10-09,2028-04-17,LOC0204,Pending,Not Nominated,Nominated,Active
CLM000501,POL000501,Online,2023-05-06,2029-11-23,,LOC0953,Paid,Nominated,Not Nominated,Active
CLM000502,POL000502,Broker,2024-08-22,2028-10-31,2029-12-30,LOC0793,Pending,Not Nominated,Not Nominated,Active
CLM000503,POL000503,Online,2024-02-25,2027-06-07,2028-12-10,LOC0122,Not Paid,Not Nominated,Nominated,Active
CLM000504,POL000504,Online,2024-03-10,2026-07-20,,LOC0072,Paid,Nominated,Not Nominated,Not Active
CLM000505,POL000505,Agent,2021-09-02,2029-12-08,2029-06-25,LOC0344,Pending,Nominated,Not Nominated,Not Active
CLM000506,POL000506,Agent,2023-03-21,2027-08-15,2027-06-03,LOC0770,Paid,Nominated,Nominated,Active
CLM000507,POL000507,Online,2024-09-05,2025-01-24,,LOC0769,Pending,Not Nominated,Nominated,Not Active
CLM000508,POL000508,Online,2022-02-11,2026-09-28,,LOC0057,Not Paid,Not Nominated,Nominated,Not Active
CLM000509,POL000509,Agent,2022-12-08,2029-08-07,2026-09-10,LOC0167,Not Paid,Not Nominated,Nominated,Active
CLM000510,POL000510,Online,2020-12-01,2025-02-22,2025-08-14,LOC0416,Not Paid,Not Nominated,Nominated,Active
CLM000511,POL000511,Broker,2021-06-12,2027-07-18,2028-08-17,LOC0398,Pending,Nominated,Nominated,Not Active
CLM000512,POL000512,Broker,2023-06-14,2025-01-29,2027-10-20,LOC0942,Pending,Not Nominated,Not Nominated,Not Active
CLM000513,POL000513,Broker,2022-10-18,2025-07-29,2029-05-23,LOC0528,Pending,Nominated,Not Nominated,Active
CLM000514,POL000514,Broker,2023-04-07,2029-12-29,2025-04-09,LOC0201,Paid,Nominated,Not Nominated,Active
CLM000515,POL000515,Agent,2024-08-23,2027-07-06,2027-01-07,LOC0999,Paid,Not Nominated,Not Nominated,Active
CLM000516,POL000516,Agent,2023-02-12,2027-09-14,,LOC0479,Not Paid,Not Nominated,Nominated,Not Active
CLM000517,POL000517,Online,2024-12-22,2028-02-14,,LOC0759,Paid,Nominated,Nominated,Not Active
CLM000518,POL000518,Agent,2021-10-05,2029-12-05,2027-11-18,LOC0850,Pending,Not Nominated,Nominated,Active
CLM000519,POL000519,Online,2024-01-28,2027-10-28,2029-05-08,LOC0927,Not Paid,Nominated,Not Nominated,Active
CLM000520,POL000520,Broker,2021-07-30,2025-10-02,,LOC0945,Not Paid,Nominated,Not Nominated,Not Active
CLM000521,POL000521,Broker,2024-12-03,2029-08-01,2027-08-22,LOC0727,Paid,Not Nominated,Not Nominated,Active
CLM000522,POL000522,Agent,2023-06-10,2028-05-31,2029-05-14,LOC0425,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000523,POL000523,Broker,2023-07-15,2026-08-03,2026-05-18,LOC0754,Paid,Not Nominated,Nominated,Active
CLM000524,POL000524,Agent,2024-10-17,2028-10-11,2028-04-11,LOC0140,Paid,Nominated,Not Nominated,Active
CLM000525,POL000525,Online,2024-09-25,2025-11-01,,LOC0931,Paid,Nominated,Not Nominated,Not Active
CLM000526,POL000526,Agent,2020-03-18,2026-01-17,2027-10-31,LOC0381,Not Paid,Not Nominated,Not Nominated,Active
CLM000527,POL000527,Broker,2023-08-12,2027-02-01,2025-12-02,LOC0862,Pending,Nominated,Not Nominated,Not Active
CLM000528,POL000528,Agent,2020-04-19,2028-08-12,2027-04-29,LOC0441,Pending,Not Nominated,Not Nominated,Not Active
CLM000529,POL000529,Agent,2023-04-28,2027-07-05,2027-03-30,LOC0303,Pending,Nominated,Nominated,Active
CLM000530,POL000530,Online,2020-02-13,2025-02-13,,LOC0055,Paid,Not Nominated,Not Nominated,Not Active
CLM000531,POL000531,Agent,2023-04-23,2028-07-24,2026-12-22,LOC0687,Pending,Nominated,Not Nominated,Not Active
CLM000532,POL000532,Agent,2022-04-17,2026-12-28,,LOC0039,Pending,Nominated,Not Nominated,Not Active
CLM000533,POL000533,Agent,2024-10-28,2025-08-24,2027-06-20,LOC0700,Not Paid,Not Nominated,Nominated,Not Active
CLM000534,POL000534,Agent,2019-12-31,2025-07-14,2029-09-26,LOC0491,Not Paid,Not Nominated,Nominated,Active
CLM000535,POL000535,Agent,2021-03-24,2027-03-14,,LOC0396,Not Paid,Not Nominated,Not Nominated,Active
CLM000536,POL000536,Agent,2020-03-10,2025-01-28,2026-11-02,LOC0648,Pending,Not Nominated,Nominated,Not Active
CLM000537,POL000537,Agent,2020-06-24,2029-07-26,2026-10-24,LOC0914,Pending,Not Nominated,Not Nominated,Not Active
CLM000538,POL000538,Online,2021-03-24,2028-05-01,2025-12-26,LOC0408,Pending,Not Nominated,Nominated,Not Active
CLM000539,POL000539,Agent,2024-03-05,2029-04-01,2029-06-03,LOC0457,Pending,Not Nominated,Not Nominated,Not Active
CLM000540,POL000540,Broker,2023-05-15,2027-07-17,,LOC0922,Paid,Not Nominated,Nominated,Active
CLM000541,POL000541,Broker,2024-07-31,2028-11-11,2029-01-15,LOC0210,Pending,Nominated,Nominated,Not Active
CLM000542,POL000542,Broker,2020-09-04,2029-01-22,2026-06-18,LOC0241,Paid,Nominated,Nominated,Active
CLM000543,POL000543,Agent,2024-02-04,2027-04-02,2027-12-01,LOC0837,Not Paid,Not Nominated,Nominated,Active
CLM000544,POL000544,Agent,2022-03-29,2027-08-03,2028-05-23,LOC0280,Paid,Not Nominated,Nominated,Not Active
CLM000545,POL000545,Broker,2022-03-19,2025-07-30,2026-05-16,LOC0148,Not Paid,Nominated,Nominated,Not Active
CLM000546,POL000546,Agent,2022-01-06,2025-11-19,2028-10-05,LOC0673,Not Paid,Not Nominated,Nominated,Active
CLM000547,POL000547,Broker,2023-06-14,2027-10-12,2029-11-04,LOC0298,Pending,Not Nominated,Not Nominated,Active
CLM000548,POL000548,Agent,2020-12-28,2027-02-01,2027-09-03,LOC0228,Pending,Not Nominated,Not Nominated,Active
CLM000549,POL000549,Broker,2022-05-13,2028-08-06,,LOC0985,Not Paid,Nominated,Not Nominated,Active
CLM000550,POL000550,Broker,2020-10-04,2025-03-06,2025-10-16,LOC0264,Pending,Not Nominated,Nominated,Active
CLM000551,POL000551,Online,2024-02-27,2029-10-05,,LOC0344,Not Paid,Not Nominated,Not Nominated,Active
CLM000552,POL000552,Online,2021-06-11,2026-09-04,2029-05-29,LOC0805,Not Paid,Not Nominated,Nominated,Not Active
CLM000553,POL000553,Online,2020-05-17,2029-03-29,2028-11-25,LOC0266,Pending,Nominated,Nominated,Not Active
CLM000554,POL000554,Broker,2021-04-09,2029-09-16,2025-05-09,LOC0149,Pending,Nominated,Nominated,Not Active
CLM000555,POL000555,Broker,2020-10-23,2028-08-27,2029-02-03,LOC0041,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000556,POL000556,Broker,2024-07-03,2029-04-27,,LOC0207,Pending,Not Nominated,Not Nominated,Active
CLM000557,POL000557,Broker,2021-12-22,2028-10-02,2028-05-26,LOC0220,Pending,Not Nominated,Nominated,Active
CLM000558,POL000558,Broker,2021-10-30,2027-10-05,2028-09-07,LOC0784,Not Paid,Not Nominated,Nominated,Not Active
CLM000559,POL000559,Agent,2024-11-24,2027-08-15,2025-08-21,LOC0211,Paid,Not Nominated,Nominated,Active
CLM000560,POL000560,Broker,2023-02-19,2026-05-31,,LOC0893,Pending,Nominated,Nominated,Active
CLM000561,POL000561,Agent,2021-03-31,2028-03-16,2026-07-30,LOC0804,Paid,Nominated,Nominated,Not Active
CLM000562,POL000562,Online,2023-09-22,2025-04-12,2025-04-21,LOC0599,Paid,Nominated,Not Nominated,Not Active
CLM000563,POL000563,Broker,2021-03-28,2029-01-20,2028-10-22,LOC0208,Not Paid,Nominated,Not Nominated,Active
CLM000564,POL000564,Online,2020-03-11,2026-06-07,2025-04-04,LOC0005,Pending,Not Nominated,Nominated,Not Active
CLM000565,POL000565,Agent,2021-05-11,2026-01-31,,LOC0316,Pending,Not Nominated,Nominated,Active
CLM000566,POL000566,Broker,2022-05-25,2029-03-08,2028-08-06,LOC0399,Not Paid,Not Nominated,Nominated,Not Active
CLM000567,POL000567,Online,2024-01-04,2025-02-01,,LOC0307,Paid,Not Nominated,Nominated,Not Active
CLM000568,POL000568,Agent,2020-12-01,2025-11-06,2028-11-15,LOC0890,Pending,Not Nominated,Not Nominated,Active
CLM000569,POL000569,Agent,2020-09-16,2028-12-12,2026-11-29,LOC0555,Paid,Nominated,Nominated,Not Active
CLM000570,POL000570,Online,2023-07-12,2029-12-28,,LOC0842,Pending,Nominated,Nominated,Active
CLM000571,POL000571,Online,2022-11-10,2027-04-05,2027-02-17,LOC0869,Not Paid,Not Nominated,Not Nominated,Active
CLM000572,POL000572,Online,2024-04-22,2027-02-27,2028-09-18,LOC0424,Paid,Not Nominated,Nominated,Not Active
CLM000573,POL000573,Broker,2020-03-04,2025-12-08,2025-07-11,LOC0861,Paid,Nominated,Not Nominated,Active
CLM000574,POL000574,Online,2021-03-17,2028-11-03,,LOC0302,Paid,Nominated,Not Nominated,Not Active
CLM000575,POL000575,Agent,2023-01-24,2026-05-07,2029-01-21,LOC0928,Paid,Not Nominated,Not Nominated,Not Active
CLM000576,POL000576,Online,2024-03-22,2026-02-05,2026-12-13,LOC0418,Pending,Not Nominated,Nominated,Active
CLM000577,POL000577,Agent,2021-01-22,2025-06-23,2027-04-01,LOC0473,Pending,Nominated,Not Nominated,Active
CLM000578,POL000578,Agent,2020-09-21,2028-02-11,2025-01-01,LOC0101,Not Paid,Nominated,Nominated,Active
CLM000579,POL000579,Broker,2024-02-26,2025-01-14,,LOC0391,Not Paid,Not Nominated,Nominated,Active
CLM000580,POL000580,Broker,2022-02-07,2028-02-16,2027-07-02,LOC0205,Pending,Not Nominated,Nominated,Active
CLM000581,POL000581,Agent,2021-05-28,2028-07-09,,LOC0067,Paid,Not Nominated,Not Nominated,Active
CLM000582,POL000582,Agent,2020-04-05,2029-11-11,2027-03-18,LOC0464,Not Paid,Not Nominated,Not Nominated,Active
CLM000583,POL000583,Agent,2020-09-03,2029-11-04,2028-11-11,LOC0013,Paid,Not Nominated,Not Nominated,Active
CLM000584,POL000584,Agent,2022-12-10,2026-11-20,2027-04-03,LOC0112,Pending,Not Nominated,Not Nominated,Active
CLM000585,POL000585,Agent,2020-11-28,2026-05-02,2025-09-17,LOC0476,Pending,Not Nominated,Nominated,Not Active
CLM000586,POL000586,Online,2023-12-15,2025-04-27,2029-01-09,LOC0270,Not Paid,Not Nominated,Not Nominated,Active
CLM000587,POL000587,Broker,2020-02-26,2026-06-09,2025-05-25,LOC0141,Pending,Not Nominated,Not Nominated,Active
CLM000588,POL000588,Agent,2023-02-11,2026-09-12,2028-11-11,LOC0386,Not Paid,Nominated,Not Nominated,Not Active
CLM000589,POL000589,Broker,2024-08-06,2026-04-11,2025-05-07,LOC0819,Paid,Not Nominated,Not Nominated,Active
CLM000590,POL000590,Agent,2023-02-08,2027-11-10,2026-12-14,LOC0721,Not Paid,Nominated,Nominated,Not Active
CLM000591,POL000591,Agent,2022-10-18,2029-02-21,2027-11-21,LOC0692,Not Paid,Nominated,Nominated,Not Active
CLM000592,POL000592,Online,2021-09-05,2027-03-28,,LOC0288,Paid,Nominated,Nominated,Active
CLM000593,POL000593,Agent,2024-04-03,2027-04-15,2025-10-04,LOC0822,Paid,Nominated,Not Nominated,Active
CLM000594,POL000594,Broker,2024-10-13,2029-11-27,,LOC0963,Paid,Not Nominated,Nominated,Active
CLM000595,POL000595,Agent,2021-05-28,2026-03-30,,LOC0886,Paid,Not Nominated,Not Nominated,Not Active
CLM000596,POL000596,Online,2024-09-04,2026-12-25,2027-03-20,LOC0967,Paid,Nominated,Nominated,Not Active
CLM000597,POL000597,Broker,2023-10-21,2025-06-04,2029-04-16,LOC0086,Pending,Not Nominated,Nominated,Active
CLM000598,POL000598,Broker,2023-09-28,2028-07-08,2029-09-17,LOC0433,Paid,Nominated,Nominated,Active
CLM000599,POL000599,Agent,2022-11-24,2027-02-07,,LOC0933,Pending,Not Nominated,Not Nominated,Not Active
CLM000600,POL000600,Agent,2024-04-27,2029-07-17,2026-01-02,LOC0164,Paid,Not Nominated,Nominated,Not Active
CLM000601,POL000601,Broker,2024-02-18,2027-02-19,2025-12-19,LOC0026,Pending,Nominated,Nominated,Active
CLM000602,POL000602,Online,2023-05-18,2025-04-16,2027-12-04,LOC0880,Not Paid,Not Nominated,Not Nominated,Active
CLM000603,POL000603,Agent,2022-12-11,2027-08-24,2027-12-09,LOC0292,Not Paid,Nominated,Nominated,Not Active
CLM000604,POL000604,Online,2021-07-13,2025-03-03,,LOC0162,Pending,Nominated,Nominated,Not Active
CLM000605,POL000605,Online,2020-01-20,2025-10-06,2025-04-10,LOC0784,Not Paid,Not Nominated,Nominated,Not Active
CLM000606,POL000606,Agent,2020-05-17,2025-03-05,2026-05-23,LOC0061,Paid,Not Nominated,Nominated,Active
CLM000607,POL000607,Agent,2023-07-29,2027-05-10,2026-11-21,LOC0289,Pending,Not Nominated,Nominated,Not Active
CLM000608,POL000608,Broker,2022-03-08,2026-12-02,,LOC0861,Not Paid,Nominated,Nominated,Active
CLM000609,POL000609,Online,2024-05-05,2025-09-05,2026-09-04,LOC0112,Not Paid,Not Nominated,Not Nominated,Active
CLM000610,POL000610,Agent,2023-10-26,2028-12-02,2025-02-26,LOC0360,Paid,Nominated,Not Nominated,Not Active
CLM000611,POL000611,Broker,2023-08-30,2025-02-10,2027-04-21,LOC0797,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000612,POL000612,Online,2024-06-17,2027-02-03,2028-09-11,LOC0006,Not Paid,Not Nominated,Nominated,Not Active
CLM000613,POL000613,Agent,2024-04-18,2028-10-05,2027-06-16,LOC0164,Paid,Not Nominated,Nominated,Not Active
CLM000614,POL000614,Online,2020-08-03,2027-12-05,2028-10-02,LOC0271,Pending,Not Nominated,Not Nominated,Not Active
CLM000615,POL000615,Online,2020-01-29,2025-10-04,2026-10-04,LOC0347,Pending,Not Nominated,Not Nominated,Active
CLM000616,POL000616,Agent,2021-07-09,2027-10-22,2027-08-17,LOC0225,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000617,POL000617,Online,2023-01-18,2027-06-28,2029-05-19,LOC0386,Not Paid,Not Nominated,Nominated,Active
CLM000618,POL000618,Broker,2021-03-10,2028-10-23,2026-10-10,LOC0119,Paid,Nominated,Not Nominated,Active
CLM000619,POL000619,Broker,2024-03-25,2028-11-27,2025-09-22,LOC0919,Pending,Not Nominated,Nominated,Active
CLM000620,POL000620,Online,2020-04-13,2026-02-19,2025-06-15,LOC0108,Not Paid,Nominated,Not Nominated,Not Active
CLM000621,POL000621,Agent,2021-02-26,2027-07-12,2028-07-23,LOC0191,Not Paid,Nominated,Not Nominated,Active
CLM000622,POL000622,Broker,2021-03-20,2029-06-16,2025-02-22,LOC0609,Pending,Not Nominated,Nominated,Not Active
CLM000623,POL000623,Broker,2021-09-15,2027-01-17,2029-06-03,LOC0274,Not Paid,Nominated,Nominated,Active
CLM000624,POL000624,Agent,2022-05-20,2025-10-14,,LOC0377,Paid,Nominated,Nominated,Active
CLM000625,POL000625,Agent,2023-05-13,2025-02-08,2028-01-09,LOC0842,Paid,Not Nominated,Not Nominated,Active
CLM000626,POL000626,Broker,2021-01-20,2027-01-08,2025-03-18,LOC0092,Pending,Nominated,Not Nominated,Active
CLM000627,POL000627,Agent,2020-08-20,2026-04-25,2029-07-12,LOC0050,Paid,Nominated,Not Nominated,Active
CLM000628,POL000628,Broker,2020-11-11,2026-04-17,,LOC0039,Paid,Nominated,Not Nominated,Active
CLM000629,POL000629,Agent,2021-01-25,2026-02-01,2027-11-27,LOC0769,Paid,Nominated,Not Nominated,Not Active
CLM000630,POL000630,Agent,2022-11-14,2027-02-01,2028-09-21,LOC0979,Pending,Not Nominated,Nominated,Not Active
CLM000631,POL000631,Agent,2024-09-19,2027-07-28,2027-04-26,LOC0035,Not Paid,Nominated,Nominated,Active
CLM000632,POL000632,Online,2024-01-31,2028-12-07,2028-07-18,LOC0942,Paid,Nominated,Nominated,Not Active
CLM000633,POL000633,Agent,2020-12-03,2029-12-06,,LOC0874,Pending,Not Nominated,Nominated,Active
CLM000634,POL000634,Agent,2023-05-14,2027-03-12,2025-07-29,LOC0243,Pending,Not Nominated,Nominated,Active
CLM000635,POL000635,Broker,2022-01-20,2025-11-28,2026-09-26,LOC0805,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000636,POL000636,Agent,2022-01-03,2026-09-04,2028-12-11,LOC0542,Paid,Nominated,Not Nominated,Active
CLM000637,POL000637,Agent,2023-01-06,2028-03-13,,LOC0522,Not Paid,Nominated,Not Nominated,Active
CLM000638,POL000638,Broker,2021-12-11,2025-02-14,2029-08-08,LOC0153,Pending,Not Nominated,Not Nominated,Active
CLM000639,POL000639,Broker,2022-07-14,2028-02-27,2027-11-04,LOC0954,Paid,Nominated,Not Nominated,Active
CLM000640,POL000640,Agent,2023-06-03,2025-08-24,2026-04-02,LOC0106,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000641,POL000641,Online,2020-09-20,2026-05-15,2025-11-13,LOC0764,Paid,Nominated,Not Nominated,Active
CLM000642,POL000642,Agent,2020-11-29,2025-09-29,2027-07-14,LOC0206,Not Paid,Nominated,Not Nominated,Active
CLM000643,POL000643,Broker,2024-05-04,2028-07-13,2028-02-13,LOC0618,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000644,POL000644,Broker,2023-10-26,2026-06-02,,LOC0510,Paid,Nominated,Not Nominated,Not Active
CLM000645,POL000645,Online,2024-09-17,2028-03-21,2027-04-17,LOC0203,Pending,Nominated,Nominated,Active
CLM000646,POL000646,Agent,2022-07-25,2026-11-28,2025-01-25,LOC0852,Paid,Nominated,Nominated,Active
CLM000647,POL000647,Broker,2022-07-21,2029-04-30,2028-06-01,LOC0153,Not Paid,Nominated,Nominated,Active
CLM000648,POL000648,Agent,2020-07-10,2029-11-22,2028-03-14,LOC0848,Paid,Nominated,Nominated,Not Active
CLM000649,POL000649,Online,2021-12-24,2029-01-07,2026-09-15,LOC0334,Not Paid,Not Nominated,Not Nominated,Active
CLM000650,POL000650,Agent,2021-05-07,2028-04-17,,LOC0744,Not Paid,Not Nominated,Not Nominated,Active
CLM000651,POL000651,Agent,2022-07-29,2029-06-28,2027-09-05,LOC0062,Pending,Not Nominated,Nominated,Active
CLM000652,POL000652,Broker,2023-01-07,2028-08-04,2027-05-21,LOC0311,Paid,Not Nominated,Not Nominated,Not Active
CLM000653,POL000653,Online,2024-12-15,2025-12-21,2027-07-17,LOC0200,Paid,Not Nominated,Nominated,Not Active
CLM000654,POL000654,Online,2024-05-22,2025-10-25,,LOC0906,Pending,Not Nominated,Nominated,Not Active
CLM000655,POL000655,Agent,2022-01-06,2026-01-11,2027-04-19,LOC0534,Paid,Nominated,Not Nominated,Not Active
CLM000656,POL000656,Agent,2020-10-12,2026-05-10,2026-05-19,LOC0429,Pending,Nominated,Not Nominated,Active
CLM000657,POL000657,Online,2023-07-24,2028-03-12,2025-09-25,LOC0285,Paid,Nominated,Not Nominated,Not Active
CLM000658,POL000658,Broker,2023-03-05,2026-07-21,,LOC0660,Pending,Not Nominated,Not Nominated,Active
CLM000659,POL000659,Broker,2024-04-15,2028-10-12,,LOC0621,Pending,Nominated,Not Nominated,Active
CLM000660,POL000660,Agent,2021-12-17,2025-08-02,2028-06-18,LOC0783,Paid,Nominated,Nominated,Active
CLM000661,POL000661,Agent,2023-08-23,2026-03-19,2026-02-16,LOC0715,Not Paid,Not Nominated,Not Nominated,Active
CLM000662,POL000662,Broker,2021-12-13,2029-01-20,2027-10-13,LOC0404,Pending,Not Nominated,Nominated,Not Active
CLM000663,POL000663,Agent,2021-12-21,2025-12-18,2029-04-10,LOC0045,Pending,Nominated,Nominated,Active
CLM000664,POL000664,Broker,2021-05-19,2025-11-01,2028-03-11,LOC0842,Pending,Nominated,Nominated,Not Active
CLM000665,POL000665,Online,2023-08-16,2028-07-02,,LOC0427,Paid,Not Nominated,Not Nominated,Not Active
CLM000666,POL000666,Agent,2024-12-16,2026-08-01,2025-04-16,LOC0306,Not Paid,Nominated,Not Nominated,Active
CLM000667,POL000667,Agent,2024-09-16,2026-11-09,2025-10-30,LOC0909,Pending,Not Nominated,Not Nominated,Active
CLM000668,POL000668,Agent,2022-01-31,2026-05-18,2025-09-17,LOC0051,Paid,Not Nominated,Not Nominated,Not Active
CLM000669,POL000669,Online,2020-08-05,2026-06-18,,LOC0087,Pending,Not Nominated,Nominated,Active
CLM000670,POL000670,Broker,2024-06-16,2029-10-05,,LOC0735,Pending,Not Nominated,Nominated,Active
CLM000671,POL000671,Broker,2020-09-01,2025-11-12,2025-11-02,LOC0418,Pending,Not Nominated,Not Nominated,Active
CLM000672,POL000672,Broker,2023-01-01,2027-07-25,2027-08-16,LOC0806,Pending,Not Nominated,Nominated,Active
CLM000673,POL000673,Online,2022-06-14,2026-02-15,2026-10-09,LOC0571,Paid,Nominated,Nominated,Active
CLM000674,POL000674,Broker,2022-11-02,2025-03-09,2028-06-14,LOC0006,Pending,Not Nominated,Not Nominated,Active
CLM000675,POL000675,Agent,2021-10-09,2029-06-04,2027-06-24,LOC0794,Not Paid,Not Nominated,Not Nominated,Active
CLM000676,POL000676,Broker,2020-03-31,2026-04-05,2027-04-19,LOC0025,Not Paid,Nominated,Not Nominated,Not Active
CLM000677,POL000677,Agent,2024-03-12,2025-01-15,2028-03-27,LOC0785,Paid,Nominated,Nominated,Active
CLM000678,POL000678,Agent,2020-12-04,2028-11-21,2025-06-26,LOC0802,Not Paid,Nominated,Nominated,Not Active
CLM000679,POL000679,Broker,2021-05-29,2027-04-08,2029-04-17,LOC0546,Not Paid,Nominated,Not Nominated,Not Active
