ClaimNumber,PaymentType,CostType,CostCategory,GrossAmount,PaymentJustifiedInNotes
CLM000990,Credit Card,Vehicle Repair,Indemnity,10201.07,NO
CLM000403,Credit Card,Medical,Indemnity,13465.99,YES
CLM000883,Direct Deposit,Medical,Expense,1908.71,YES
CLM000525,Direct Deposit,Property Damage,Expense,26016.92,YES
CLM000976,Check,Vehicle Repair,Expense,41455.21,NO
CLM000721,Check,Property Damage,Indemnity,13006.49,NO
CLM000461,Check,Property Damage,Indemnity,6374.99,YES
CLM000441,Direct Deposit,Vehicle Repair,Indemnity,45976.02,NO
CLM000216,Credit Card,Property Damage,Indemnity,47220.54,NO
CLM000131,Direct Deposit,Vehicle Repair,Indemnity,36221.47,YES
CLM000655,Check,Medical,Indemnity,23454.23,NO
CLM000461,Check,Property Damage,Expense,18857.52,YES
CLM000060,Credit Card,Medical,Indemnity,1543.14,NO
CLM000176,Credit Card,Property Damage,Expense,49107.73,NO
CLM000645,Check,Vehicle Repair,Indemnity,12518.84,NO
CLM000353,Direct Deposit,Medical,Expense,41197.17,NO
CLM000791,Direct Deposit,Vehicle Repair,Expense,23230.36,YES
CLM000795,Credit Card,Medical,Expense,15724.35,YES
CLM000697,Check,Property Damage,Indemnity,5968.92,YES
CLM000899,Check,Vehicle Repair,Indemnity,1036.03,NO
CLM000870,Direct Deposit,Property Damage,Expense,610.82,NO
CLM000719,Credit Card,Vehicle Repair,Expense,45825.34,YES
CLM000290,Direct Deposit,Medical,Indemnity,18667.21,NO
CLM000738,Credit Card,Property Damage,Expense,23008.17,YES
CLM000867,Credit Card,Vehicle Repair,Indemnity,46336.77,YES
CLM000981,Credit Card,Vehicle Repair,Indemnity,42995.66,NO
CLM000286,Direct Deposit,Property Damage,Expense,32629.12,NO
CLM000342,Check,Vehicle Repair,Indemnity,16612.98,YES
CLM000612,Direct Deposit,Medical,Expense,28756.27,YES
CLM000302,Direct Deposit,Medical,Expense,43465.93,NO
CLM000169,Direct Deposit,Property Damage,Expense,41919.14,YES
CLM000429,Direct Deposit,Property Damage,Indemnity,44068.76,NO
CLM000638,Direct Deposit,Property Damage,Expense,10972.59,YES
CLM000649,Credit Card,Medical,Indemnity,46858.77,YES
CLM000810,Check,Vehicle Repair,Expense,32537.11,NO
CLM000815,Credit Card,Property Damage,Expense,38900.41,YES
CLM000734,Direct Deposit,Medical,Expense,46438.98,NO
CLM000649,Check,Vehicle Repair,Indemnity,47511.16,YES
CLM000230,Direct Deposit,Medical,Indemnity,35805.75,YES
CLM000143,Check,Medical,Expense,46951.7,YES
CLM000981,Credit Card,Property Damage,Indemnity,16572.45,NO
CLM000390,Direct Deposit,Medical,Expense,11225.28,NO
CLM000502,Credit Card,Property Damage,Expense,10268.39,YES
CLM000851,Direct Deposit,Medical,Indemnity,37288.28,YES
CLM000330,Check,Medical,Expense,47594.18,NO
CLM000968,Credit Card,Medical,Expense,18696.8,NO
CLM000344,Check,Property Damage,Indemnity,2453.4,NO
CLM000411,Direct Deposit,Property Damage,Expense,4813.43,YES
CLM000952,Check,Medical,Expense,34504.01,YES
CLM000835,Direct Deposit,Vehicle Repair,Indemnity,1433.87,NO
CLM000332,Check,Vehicle Repair,Indemnity,4972.42,NO
CLM000772,Credit Card,Vehicle Repair,Indemnity,3568.17,YES
CLM000971,Direct Deposit,Property Damage,Indemnity,36458.8,YES
CLM000260,Direct Deposit,Property Damage,Indemnity,22939.41,NO
CLM000124,Credit Card,Medical,Expense,3213.19,NO
CLM000078,Check,Vehicle Repair,Expense,4169.92,NO
CLM000029,Check,Vehicle Repair,Expense,40061.8,YES
CLM000141,Check,Vehicle Repair,Indemnity,27697.11,NO
CLM000269,Credit Card,Vehicle Repair,Indemnity,30621.38,NO
CLM000173,Credit Card,Property Damage,Indemnity,17447.69,NO
CLM000632,Check,Vehicle Repair,Expense,10267.1,NO
CLM000646,Direct Deposit,Medical,Indemnity,44281.96,YES
CLM000552,Credit Card,Property Damage,Expense,43806.15,NO
CLM000953,Credit Card,Vehicle Repair,Indemnity,37255.34,YES
CLM000355,Check,Vehicle Repair,Indemnity,45189.12,YES
CLM000052,Credit Card,Property Damage,Indemnity,14330.97,NO
CLM000870,Credit Card,Vehicle Repair,Indemnity,35826.8,YES
CLM000936,Credit Card,Property Damage,Indemnity,37538.6,YES
CLM000551,Check,Vehicle Repair,Expense,48891.19,NO
CLM000812,Credit Card,Medical,Expense,20117.97,NO
CLM000909,Check,Property Damage,Indemnity,21551.97,NO
CLM000263,Check,Medical,Indemnity,39873.13,YES
CLM000460,Credit Card,Medical,Indemnity,8456.77,YES
CLM000666,Credit Card,Vehicle Repair,Expense,34162.26,YES
CLM000074,Check,Vehicle Repair,Indemnity,2606.08,NO
CLM000069,Credit Card,Vehicle Repair,Expense,49170.46,YES
CLM000693,Credit Card,Vehicle Repair,Indemnity,18525.17,YES
CLM000674,Credit Card,Property Damage,Indemnity,500.37,YES
CLM000752,Check,Vehicle Repair,Expense,34080.62,YES
CLM000482,Direct Deposit,Property Damage,Indemnity,30406.55,YES
CLM000409,Check,Medical,Expense,5443.33,YES
CLM000822,Credit Card,Medical,Expense,22938.45,YES
CLM000010,Direct Deposit,Medical,Indemnity,46854.74,YES
CLM000742,Check,Property Damage,Expense,1430.79,NO
CLM000219,Direct Deposit,Property Damage,Indemnity,49493.18,YES
CLM000992,Check,Medical,Indemnity,39736.04,NO
CLM000698,Check,Medical,Indemnity,9611.11,YES
CLM000875,Check,Medical,Indemnity,12112.02,YES
CLM000261,Direct Deposit,Medical,Expense,33787.75,NO
CLM000779,Check,Vehicle Repair,Indemnity,26910.83,YES
CLM000244,Credit Card,Property Damage,Expense,6090.85,NO
CLM000032,Direct Deposit,Vehicle Repair,Expense,167.39,YES
CLM000644,Direct Deposit,Property Damage,Indemnity,10759.2,NO
CLM000822,Direct Deposit,Property Damage,Indemnity,18800.09,YES
CLM000944,Check,Vehicle Repair,Expense,14512.97,NO
CLM000559,Direct Deposit,Vehicle Repair,Expense,25113.53,NO
CLM000927,Direct Deposit,Medical,Expense,28203.97,YES
CLM000273,Check,Vehicle Repair,Indemnity,8553.58,NO
CLM000013,Credit Card,Property Damage,Expense,17643.18,NO
CLM000573,Credit Card,Vehicle Repair,Expense,33758.89,YES
CLM000096,Direct Deposit,Vehicle Repair,Expense,20407.61,NO
CLM000230,Check,Medical,Indemnity,36079.41,NO
CLM000994,Check,Medical,Indemnity,40509.5,YES
CLM000178,Credit Card,Vehicle Repair,Expense,2110.01,YES
CLM000953,Direct Deposit,Vehicle Repair,Expense,36382.71,NO
CLM000126,Direct Deposit,Property Damage,Expense,29368.88,NO
CLM000885,Check,Vehicle Repair,Expense,17755.67,NO
CLM000753,Credit Card,Property Damage,Expense,43184.55,YES
CLM000347,Check,Vehicle Repair,Indemnity,36707.98,YES
CLM000845,Credit Card,Vehicle Repair,Expense,35121.1,YES
CLM000875,Direct Deposit,Medical,Indemnity,14723.2,YES
CLM000116,Direct Deposit,Medical,Expense,39237.71,YES
CLM000332,Credit Card,Property Damage,Expense,13449.82,NO
CLM000387,Credit Card,Property Damage,Indemnity,44222.5,YES
CLM000645,Check,Property Damage,Expense,32197.09,NO
CLM000840,Direct Deposit,Property Damage,Expense,25005.28,YES
CLM000211,Direct Deposit,Property Damage,Expense,45844.7,NO
CLM000449,Credit Card,Vehicle Repair,Indemnity,31091.29,NO
CLM000208,Credit Card,Property Damage,Expense,44951.08,YES
CLM000793,Direct Deposit,Property Damage,Expense,27054.73,YES
CLM000984,Check,Medical,Indemnity,38372.64,YES
CLM000422,Check,Vehicle Repair,Indemnity,10331.4,NO
CLM000428,Direct Deposit,Property Damage,Expense,13842.2,YES
CLM000384,Check,Property Damage,Expense,49778.65,YES
CLM000982,Check,Vehicle Repair,Indemnity,9512.96,NO
CLM000014,Direct Deposit,Medical,Indemnity,37242.96,NO
CLM000903,Check,Vehicle Repair,Expense,43059.02,NO
CLM000585,Check,Property Damage,Indemnity,8158.84,YES
CLM000598,Direct Deposit,Medical,Indemnity,28697.09,YES
CLM000487,Credit Card,Property Damage,Indemnity,43795.12,NO
CLM000877,Check,Property Damage,Indemnity,3507.92,YES
CLM000862,Direct Deposit,Medical,Indemnity,31522.14,YES
CLM000249,Credit Card,Medical,Expense,29641.22,YES
CLM000298,Check,Property Damage,Expense,40370.87,YES
CLM000386,Direct Deposit,Vehicle Repair,Indemnity,26390.06,NO
CLM000210,Check,Medical,Expense,1706.46,NO
CLM000726,Direct Deposit,Medical,Indemnity,1867.84,NO
CLM000573,Check,Medical,Expense,19986.63,NO
CLM000148,Check,Property Damage,Indemnity,7673.14,NO
CLM000482,Credit Card,Vehicle Repair,Expense,4562.67,NO
CLM000658,Check,Property Damage,Expense,32573.65,YES
CLM000149,Check,Property Damage,Indemnity,10585.76,NO
CLM000304,Direct Deposit,Property Damage,Expense,14543.86,YES
CLM000189,Direct Deposit,Vehicle Repair,Expense,5314.42,YES
CLM000934,Check,Vehicle Repair,Expense,30661.62,NO
CLM000573,Credit Card,Vehicle Repair,Expense,32346.6,YES
CLM000972,Check,Vehicle Repair,Expense,45333.19,NO
CLM000700,Credit Card,Vehicle Repair,Indemnity,26343.89,YES
CLM000421,Credit Card,Medical,Indemnity,23023.52,NO
CLM000331,Check,Vehicle Repair,Indemnity,11077.61,YES
CLM000153,Direct Deposit,Vehicle Repair,Indemnity,37713.49,YES
CLM000987,Check,Vehicle Repair,Expense,41884.69,NO
CLM000735,Check,Medical,Expense,48051.63,YES
CLM000943,Check,Vehicle Repair,Indemnity,13820.53,YES
CLM000848,Credit Card,Medical,Expense,41738.74,NO
CLM000920,Check,Medical,Indemnity,43474.29,NO
CLM000587,Check,Property Damage,Expense,31639.37,NO
CLM000617,Credit Card,Medical,Expense,29944.19,YES
CLM000428,Credit Card,Vehicle Repair,Expense,39751.63,YES
CLM000826,Direct Deposit,Property Damage,Expense,4846.24,NO
CLM000414,Check,Medical,Expense,37886.61,NO
CLM000902,Check,Property Damage,Indemnity,32212.45,YES
CLM000032,Credit Card,Property Damage,Expense,33100.44,YES
CLM000534,Direct Deposit,Medical,Expense,30446.14,YES
CLM000736,Credit Card,Medical,Expense,44841.06,YES
CLM000194,Credit Card,Property Damage,Indemnity,393.64,YES
CLM000822,Check,Medical,Indemnity,9599.79,YES
CLM000422,Credit Card,Medical,Expense,2017.31,YES
CLM000257,Credit Card,Medical,Expense,18791.35,YES
CLM000169,Credit Card,Vehicle Repair,Indemnity,35205.17,NO
CLM000178,Check,Medical,Expense,39483.14,NO
CLM000933,Credit Card,Property Damage,Indemnity,42134.49,NO
CLM000688,Credit Card,Vehicle Repair,Expense,42195.44,YES
CLM000565,Direct Deposit,Vehicle Repair,Indemnity,47566.81,YES
CLM000264,Check,Vehicle Repair,Expense,47444.39,YES
CLM000011,Direct Deposit,Medical,Indemnity,32379.04,NO
CLM000804,Check,Vehicle Repair,Expense,6307.22,NO
CLM000385,Direct Deposit,Medical,Expense,24456.39,YES
CLM000037,Direct Deposit,Medical,Indemnity,11159.38,YES
CLM000113,Direct Deposit,Property Damage,Indemnity,27977.99,NO
CLM000778,Credit Card,Property Damage,Expense,12102.47,YES
CLM000405,Check,Property Damage,Expense,43161.82,YES
CLM000769,Credit Card,Medical,Indemnity,23222.56,NO
CLM000961,Direct Deposit,Property Damage,Indemnity,37612.53,NO
CLM000389,Credit Card,Medical,Indemnity,9616.76,NO
CLM000879,Credit Card,Medical,Expense,29199.86,NO
CLM000102,Check,Vehicle Repair,Indemnity,48053.6,NO
CLM000411,Credit Card,Medical,Expense,10598.37,NO
CLM000521,Direct Deposit,Medical,Indemnity,46380.44,YES
CLM000051,Check,Vehicle Repair,Indemnity,49911.82,NO
CLM000310,Direct Deposit,Property Damage,Indemnity,29875.01,YES
CLM000686,Credit Card,Property Damage,Expense,14342.83,NO
CLM000723,Direct Deposit,Property Damage,Expense,13291.95,YES
CLM000687,Direct Deposit,Vehicle Repair,Expense,47262.85,NO
CLM000146,Check,Property Damage,Expense,13283.42,NO
CLM000742,Check,Medical,Expense,3510.82,NO
CLM000933,Direct Deposit,Property Damage,Expense,21720.24,YES
CLM000260,Credit Card,Property Damage,Expense,28738.16,NO
CLM000591,Credit Card,Medical,Indemnity,46711.11,NO
CLM000076,Check,Vehicle Repair,Indemnity,25662.8,NO
CLM000377,Direct Deposit,Property Damage,Expense,34478.21,NO
CLM000608,Credit Card,Medical,Indemnity,49181.18,YES
CLM000028,Credit Card,Vehicle Repair,Indemnity,30561.85,YES
CLM000440,Direct Deposit,Vehicle Repair,Expense,47634.52,YES
CLM000556,Direct Deposit,Property Damage,Expense,33130.68,YES
CLM000938,Credit Card,Property Damage,Expense,13533.13,YES
CLM000982,Credit Card,Property Damage,Expense,37520.69,NO
CLM000008,Check,Vehicle Repair,Indemnity,24012.54,YES
CLM000978,Check,Vehicle Repair,Expense,13393.18,NO
CLM000366,Credit Card,Vehicle Repair,Indemnity,49821.77,NO
CLM000880,Direct Deposit,Vehicle Repair,Indemnity,6567.61,YES
CLM000419,Credit Card,Property Damage,Indemnity,4815.97,YES
CLM000608,Check,Medical,Expense,12038.71,YES
CLM000602,Check,Vehicle Repair,Indemnity,17025.04,YES
CLM000880,Check,Property Damage,Indemnity,13507.56,NO
CLM000907,Check,Property Damage,Indemnity,32361.2,YES
CLM000414,Credit Card,Property Damage,Expense,8206.08,NO
CLM000923,Credit Card,Medical,Expense,32270.32,YES
CLM000664,Check,Property Damage,Indemnity,42693.36,YES
CLM000306,Credit Card,Property Damage,Expense,5788.7,NO
CLM000444,Check,Property Damage,Expense,5817.22,NO
CLM000943,Direct Deposit,Vehicle Repair,Indemnity,16726.37,NO
CLM000083,Direct Deposit,Medical,Expense,30332.38,YES
CLM000301,Check,Medical,Indemnity,2054.74,NO
CLM000610,Credit Card,Medical,Expense,914.92,YES
CLM000151,Check,Medical,Expense,49385.79,YES
CLM000209,Check,Medical,Indemnity,1223.67,NO
CLM000523,Credit Card,Property Damage,Expense,10275.56,NO
CLM000682,Check,Medical,Indemnity,12262.55,NO
CLM000028,Credit Card,Medical,Expense,710.35,YES
CLM000175,Check,Medical,Indemnity,27018.3,NO
CLM000479,Check,Medical,Indemnity,47273.9,NO
CLM000497,Credit Card,Vehicle Repair,Indemnity,19233.15,YES
CLM000475,Direct Deposit,Medical,Expense,39785.93,YES
CLM000863,Credit Card,Property Damage,Expense,21353.69,NO
CLM000287,Direct Deposit,Vehicle Repair,Indemnity,46277.6,YES
CLM000864,Direct Deposit,Medical,Indemnity,14081.45,NO
CLM000201,Check,Vehicle Repair,Expense,12709.85,NO
CLM000810,Check,Vehicle Repair,Indemnity,17251.06,NO
CLM000753,Check,Medical,Expense,47901.52,NO
CLM000978,Direct Deposit,Medical,Indemnity,48331.95,NO
CLM000860,Check,Property Damage,Indemnity,25829.05,YES
CLM000710,Check,Medical,Expense,46066.02,NO
CLM000574,Check,Medical,Indemnity,41639.12,NO
CLM000648,Direct Deposit,Property Damage,Expense,25182.63,NO
CLM000285,Check,Medical,Expense,35304.94,NO
CLM000787,Check,Medical,Expense,41591.61,YES
CLM000300,Check,Medical,Indemnity,26120.78,YES
CLM000757,Check,Vehicle Repair,Expense,23714.66,NO
CLM000379,Direct Deposit,Vehicle Repair,Expense,17993.62,NO
CLM000658,Credit Card,Medical,Expense,22631.67,YES
CLM000651,Check,Vehicle Repair,Expense,38549.21,NO
CLM000239,Direct Deposit,Property Damage,Indemnity,7177.57,YES
CLM000432,Direct Deposit,Vehicle Repair,Expense,15031.39,NO
CLM000582,Credit Card,Medical,Expense,18565.72,NO
CLM000979,Check,Vehicle Repair,Indemnity,42286.11,YES
CLM000149,Credit Card,Medical,Expense,46386.3,YES
CLM000866,Check,Property Damage,Expense,28276.78,NO
CLM000974,Check,Vehicle Repair,Expense,29474.78,YES
CLM000505,Direct Deposit,Vehicle Repair,Expense,42125.89,YES
CLM000676,Direct Deposit,Medical,Expense,49514.66,YES
CLM000420,Credit Card,Vehicle Repair,Indemnity,5591.68,YES
CLM000529,Check,Medical,Expense,30426.14,YES
CLM000885,Direct Deposit,Vehicle Repair,Indemnity,27839.48,NO
CLM000954,Direct Deposit,Medical,Indemnity,45291.77,YES
CLM000483,Credit Card,Medical,Expense,44995.1,NO
CLM000207,Check,Property Damage,Indemnity,35384.8,NO
CLM000048,Direct Deposit,Property Damage,Indemnity,13679.93,NO
CLM000487,Direct Deposit,Medical,Indemnity,12009.26,NO
CLM000692,Direct Deposit,Property Damage,Indemnity,13547.59,NO
CLM000703,Check,Medical,Expense,47643.05,YES
CLM000252,Credit Card,Vehicle Repair,Expense,6264.79,NO
CLM000987,Credit Card,Medical,Expense,41591.1,NO
CLM000001,Credit Card,Vehicle Repair,Expense,38515.07,NO
CLM000088,Credit Card,Property Damage,Expense,8627.6,YES
CLM000283,Check,Medical,Indemnity,13807.38,YES
CLM000964,Check,Medical,Expense,12026.51,YES
CLM000991,Check,Vehicle Repair,Indemnity,9223.81,YES
CLM000418,Direct Deposit,Medical,Indemnity,48787.3,NO
CLM000643,Direct Deposit,Vehicle Repair,Expense,6192.34,NO
CLM000662,Check,Vehicle Repair,Indemnity,11655.7,YES
CLM000393,Credit Card,Property Damage,Indemnity,33231.31,YES
CLM000184,Direct Deposit,Medical,Indemnity,35965.31,NO
CLM000732,Credit Card,Medical,Expense,12300.58,NO
CLM000588,Check,Property Damage,Expense,14857.54,NO
CLM000376,Credit Card,Property Damage,Indemnity,18160.4,NO
CLM000636,Direct Deposit,Vehicle Repair,Expense,27224.51,YES
CLM000560,Direct Deposit,Medical,Indemnity,37814.12,NO
CLM000711,Check,Vehicle Repair,Expense,39206.53,NO
CLM000557,Credit Card,Property Damage,Expense,46013.5,YES
CLM000011,Direct Deposit,Property Damage,Indemnity,10370.22,NO
CLM000255,Check,Medical,Expense,28705.3,NO
CLM000118,Check,Vehicle Repair,Indemnity,38012.82,NO
CLM000533,Credit Card,Vehicle Repair,Expense,45929.29,YES
CLM000406,Check,Vehicle Repair,Indemnity,14382.77,NO
CLM000749,Check,Medical,Expense,28425.53,YES
CLM000022,Credit Card,Property Damage,Expense,6706.11,NO
CLM000894,Check,Vehicle Repair,Expense,22812.0,NO
CLM000348,Credit Card,Vehicle Repair,Indemnity,730.02,YES
CLM000621,Direct Deposit,Vehicle Repair,Expense,49126.7,YES
CLM000690,Credit Card,Property Damage,Indemnity,13658.07,YES
CLM000658,Check,Medical,Indemnity,29563.39,NO
CLM000892,Credit Card,Property Damage,Indemnity,17300.97,NO
CLM000584,Check,Property Damage,Expense,6927.57,YES
CLM000339,Credit Card,Property Damage,Indemnity,24299.18,NO
CLM000864,Direct Deposit,Medical,Expense,20858.91,NO
CLM000233,Credit Card,Medical,Indemnity,8757.3,NO
CLM000937,Check,Medical,Expense,7830.73,YES
CLM000153,Credit Card,Medical,Indemnity,29789.65,NO
CLM000281,Credit Card,Property Damage,Indemnity,29752.81,YES
CLM000464,Check,Medical,Indemnity,25977.31,YES
CLM000378,Credit Card,Property Damage,Expense,24127.34,YES
CLM000211,Credit Card,Property Damage,Expense,20234.38,NO
CLM000017,Check,Vehicle Repair,Indemnity,1106.26,YES
CLM000508,Credit Card,Medical,Indemnity,16911.93,YES
CLM000526,Direct Deposit,Medical,Expense,25983.48,YES
CLM000414,Direct Deposit,Medical,Expense,49047.77,NO
CLM000926,Credit Card,Vehicle Repair,Indemnity,17215.01,YES
CLM000556,Direct Deposit,Property Damage,Expense,13745.12,NO
CLM000143,Direct Deposit,Property Damage,Expense,25261.71,NO
CLM000418,Credit Card,Property Damage,Expense,20571.43,NO
CLM000259,Direct Deposit,Medical,Expense,6668.85,YES
CLM000686,Credit Card,Vehicle Repair,Indemnity,13427.46,NO
CLM000242,Direct Deposit,Medical,Expense,4962.56,YES
CLM000591,Credit Card,Medical,Expense,28023.85,YES
CLM000604,Check,Medical,Expense,19976.88,NO
CLM000803,Check,Vehicle Repair,Indemnity,26467.14,YES
CLM000263,Direct Deposit,Vehicle Repair,Expense,4950.21,NO
CLM000066,Credit Card,Medical,Indemnity,1261.27,NO
CLM000967,Credit Card,Vehicle Repair,Expense,49509.34,YES
CLM000004,Check,Medical,Indemnity,10130.0,NO
CLM000720,Credit Card,Medical,Indemnity,7788.84,NO
CLM000827,Direct Deposit,Vehicle Repair,Indemnity,32199.1,NO
CLM000710,Direct Deposit,Medical,Expense,1948.99,NO
CLM000518,Check,Medical,Expense,1263.28,YES
CLM000838,Credit Card,Property Damage,Indemnity,5897.62,NO
CLM000945,Direct Deposit,Medical,Indemnity,45194.45,YES
CLM000234,Check,Vehicle Repair,Indemnity,25768.72,YES
CLM000207,Direct Deposit,Property Damage,Expense,3181.99,YES
CLM000534,Credit Card,Property Damage,Expense,21654.69,YES
CLM000483,Credit Card,Medical,Indemnity,39986.11,YES
CLM000008,Check,Property Damage,Expense,25005.51,NO
CLM000380,Check,Medical,Indemnity,39093.2,NO
CLM000457,Check,Property Damage,Expense,13575.33,YES
CLM000176,Direct Deposit,Property Damage,Expense,46160.76,YES
CLM000085,Check,Medical,Expense,12211.42,NO
CLM000432,Check,Property Damage,Indemnity,34768.08,YES
CLM000633,Direct Deposit,Vehicle Repair,Indemnity,4251.66,NO
CLM000323,Check,Property Damage,Indemnity,18558.49,NO
CLM000647,Direct Deposit,Property Damage,Expense,48694.8,NO
CLM000105,Check,Medical,Indemnity,13276.4,YES
CLM000605,Credit Card,Medical,Expense,39193.38,YES
CLM000718,Check,Vehicle Repair,Expense,45643.25,YES
CLM000088,Check,Property Damage,Indemnity,41371.77,NO
CLM000340,Credit Card,Medical,Indemnity,30855.06,NO
CLM000690,Direct Deposit,Medical,Indemnity,10829.74,NO
CLM000196,Credit Card,Medical,Indemnity,43898.3,YES
CLM000718,Direct Deposit,Property Damage,Expense,2999.15,YES
CLM000013,Credit Card,Property Damage,Indemnity,32009.45,NO
CLM000304,Direct Deposit,Vehicle Repair,Indemnity,3514.03,NO
CLM000836,Check,Medical,Indemnity,2753.01,YES
CLM000817,Direct Deposit,Medical,Expense,28785.03,YES
CLM000053,Direct Deposit,Vehicle Repair,Expense,31624.0,NO
CLM000375,Direct Deposit,Property Damage,Expense,15654.59,YES
CLM000252,Check,Medical,Indemnity,4119.99,YES
CLM000348,Credit Card,Vehicle Repair,Indemnity,44223.53,YES
CLM000714,Credit Card,Vehicle Repair,Expense,18575.51,YES
CLM000049,Check,Medical,Indemnity,20597.46,NO
CLM000461,Credit Card,Property Damage,Expense,15607.87,NO
CLM000179,Check,Vehicle Repair,Expense,46172.25,YES
CLM000957,Direct Deposit,Medical,Indemnity,14224.79,YES
CLM000432,Direct Deposit,Property Damage,Expense,46689.13,NO
CLM000160,Direct Deposit,Vehicle Repair,Indemnity,12793.62,YES
CLM000228,Check,Medical,Indemnity,46602.13,YES
CLM000435,Direct Deposit,Vehicle Repair,Expense,14062.01,YES
CLM000804,Credit Card,Vehicle Repair,Indemnity,47944.59,NO
CLM000287,Direct Deposit,Medical,Indemnity,41187.48,YES
CLM000052,Check,Vehicle Repair,Expense,2549.96,YES
CLM000201,Check,Vehicle Repair,Expense,4073.48,NO
CLM000193,Credit Card,Medical,Expense,48834.17,YES
CLM000342,Direct Deposit,Property Damage,Indemnity,44055.43,NO
CLM000106,Credit Card,Vehicle Repair,Indemnity,43134.93,YES
CLM000969,Credit Card,Vehicle Repair,Expense,35912.01,YES
CLM000461,Check,Vehicle Repair,Indemnity,5578.31,NO
CLM000271,Credit Card,Medical,Indemnity,18507.81,YES
CLM000985,Check,Property Damage,Indemnity,8094.77,YES
CLM000063,Credit Card,Property Damage,Indemnity,44916.52,YES
CLM000354,Check,Property Damage,Expense,30312.97,NO
CLM000932,Credit Card,Property Damage,Expense,34982.6,NO
CLM000772,Check,Property Damage,Expense,20105.39,YES
CLM000884,Check,Property Damage,Expense,14088.65,YES
CLM000414,Check,Vehicle Repair,Indemnity,45011.56,NO
CLM000178,Direct Deposit,Property Damage,Indemnity,38071.8,NO
CLM000694,Credit Card,Vehicle Repair,Indemnity,18432.92,NO
CLM000095,Credit Card,Vehicle Repair,Expense,1338.57,YES
CLM000045,Direct Deposit,Vehicle Repair,Expense,1355.33,NO
CLM000480,Direct Deposit,Property Damage,Expense,4604.41,YES
CLM000690,Check,Property Damage,Indemnity,46822.28,YES
CLM000338,Credit Card,Medical,Indemnity,41523.43,YES
CLM000702,Credit Card,Medical,Expense,23619.87,YES
CLM000575,Direct Deposit,Medical,Expense,26560.86,NO
CLM000970,Credit Card,Property Damage,Indemnity,33205.09,NO
CLM000734,Direct Deposit,Property Damage,Expense,18955.38,NO
CLM000103,Check,Medical,Indemnity,25619.69,YES
CLM000329,Direct Deposit,Property Damage,Expense,23539.28,NO
CLM000129,Direct Deposit,Property Damage,Expense,31017.79,YES
CLM000677,Credit Card,Medical,Expense,29685.4,NO
CLM000933,Direct Deposit,Medical,Expense,14927.75,YES
CLM000480,Check,Medical,Indemnity,42641.73,YES
CLM000772,Direct Deposit,Vehicle Repair,Indemnity,23451.56,NO
CLM000678,Check,Vehicle Repair,Indemnity,34381.2,NO
CLM000465,Credit Card,Medical,Indemnity,14801.15,NO
CLM000765,Credit Card,Property Damage,Indemnity,23663.26,NO
CLM000871,Check,Vehicle Repair,Expense,45597.5,NO
CLM000863,Direct Deposit,Property Damage,Expense,22502.19,NO
CLM000571,Credit Card,Medical,Indemnity,11007.15,NO
CLM000523,Check,Medical,Expense,44536.24,YES
CLM000175,Credit Card,Medical,Indemnity,46492.32,YES
CLM000987,Direct Deposit,Property Damage,Expense,35722.42,NO
CLM000197,Check,Medical,Indemnity,23415.87,YES
CLM000424,Direct Deposit,Property Damage,Indemnity,49032.73,NO
CLM000584,Credit Card,Property Damage,Indemnity,37531.52,NO
CLM000192,Check,Medical,Indemnity,32611.67,NO
CLM000995,Direct Deposit,Medical,Expense,14029.62,NO
CLM000629,Credit Card,Property Damage,Expense,36580.96,YES
CLM000357,Direct Deposit,Vehicle Repair,Expense,32517.95,YES
CLM000620,Check,Medical,Indemnity,2529.56,YES
CLM000078,Direct Deposit,Property Damage,Expense,3448.45,NO
CLM000065,Direct Deposit,Medical,Indemnity,19317.35,NO
CLM000028,Direct Deposit,Vehicle Repair,Expense,47968.94,NO
CLM000835,Direct Deposit,Property Damage,Indemnity,135.67,YES
CLM000898,Check,Property Damage,Indemnity,32628.2,NO
CLM000835,Credit Card,Property Damage,Expense,45659.43,YES
CLM000608,Check,Medical,Expense,31008.42,YES
CLM000161,Check,Property Damage,Expense,49311.94,YES
CLM000472,Credit Card,Property Damage,Expense,33576.25,NO
CLM000858,Check,Property Damage,Expense,45607.84,YES
CLM000466,Credit Card,Vehicle Repair,Indemnity,45651.33,YES
CLM000805,Credit Card,Property Damage,Indemnity,3208.08,YES
CLM000419,Direct Deposit,Property Damage,Indemnity,28780.35,YES
CLM000387,Check,Medical,Indemnity,29387.47,NO
CLM000124,Credit Card,Property Damage,Indemnity,2205.74,YES
CLM000420,Credit Card,Vehicle Repair,Indemnity,31363.34,NO
CLM000261,Direct Deposit,Property Damage,Expense,9575.98,NO
CLM000879,Check,Property Damage,Expense,39928.56,NO
CLM000378,Credit Card,Medical,Indemnity,6474.05,YES
CLM000134,Check,Medical,Indemnity,39426.25,YES
CLM000299,Credit Card,Medical,Indemnity,20519.78,NO
CLM000331,Direct Deposit,Property Damage,Expense,4094.02,YES
CLM000717,Check,Property Damage,Expense,18118.65,NO
CLM000716,Check,Property Damage,Indemnity,47717.44,YES
CLM000110,Check,Vehicle Repair,Indemnity,39850.08,NO
CLM000768,Credit Card,Medical,Indemnity,31501.58,NO
CLM000499,Check,Property Damage,Indemnity,49100.14,NO
CLM000791,Direct Deposit,Medical,Expense,20933.31,YES
